prompt,response
Segue melhores práticas de segurança utilizadas no mercado?,"Segue as melhores práticas recomenda pela empresa de consultoria de segurança da informação, onde recomendam recursos de monitoramento, gestão de eventos e ação para eventuais falhas. Todas elas, seguem conforme os protocolos da ISO 27001."
"Possui certificação em alguma ISO? Caso positivo, detalhar qual certificação.",
A atualização automática da versão tem a  necessidade de intervenção manual?,O controle de codigo é feito utilizando GitLab para versionamento de código. A atualizaão é manualmente executada na aplicação operada por profissional com privilégio administrativo.
A implementação de mudanças é controlada utilizando procedimentos formais de controle de mudanças?,"A gestão e controle das aplicações é feita atravez dos serviços Jira, procedimento formal para testes de homolagação e geração de novas versões e procedimentos formais documentados e aprovados para implantação de versões em produção"
A instalação e execução da solução utiliza usuário privilegiado na estação?,Somente usuários com privilégios de deploy podem executar as atividades de instalação no servidor de aplicação
A solução possui recursos que facilitam sua escalabilidade?,"Possui recursos de escalabilidade Auto-Scaling da AWS, caso necessite, poderá aumentar recursos da aplicação."
A solução trabalha em multiplataforma?,A aplicação está instalada unicamente na Amazon e roda unicamente sobre sistema operacional Linux. Pode ser acessada via web (browser) desde um computador e também via browser de um dispositivo mobile.
De que forma a plataforma/solução contempla os requisitos necessários para atender as exigências da LGPD?,"Toda a plataforma e infraestrutura da Dcide foi desenhada para cumprimento dos princípios, bases legais e direitos dos titulares previstos na LGPD, bem como das demais obrigações, incluindo, mas não se limitando à de registro e adoção de controles e medidas de segurança, técnicas e administrativas, preventivas e corretivas, aptas à proteger os dados pessoais contra acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou qualquer forma de tratamento inadequado ou ilícito, na medida do que for aplicável."
Para o seu funcionamento adequado a plataforma/solução faz algum tipo de coleta de dados pessoais e/ou sensíveis ?,"A plataforma coleta os seguintes dados pessoais para seu funcionamento: Nome, Cargo, telefone corporativo e e-mail corporativo. Os dados são coletados através de formulário enviado ao usuário para preenchimento. "
A plataforma/solução possui a funcionalidade de automatizada ou manual de retenção de dados?                ,O registro dos usuários é realizado manualmente e a retenção dos dados é realizada de maneira automática após o término do contrato. 
A plataforma/solução possui um funcionalidade automatizada ou manual de expurgo de dados?,Existe um procedimento manual para expurgo de dados. 
A plataforma/solução possui uma política de privacidade publicada e divulgada contemplando os requisitos exigidos pela LGPD?,"Ao acessar o sistema pela primeira vez, o usuário assina o termo de privacidade de dados - LGPD. Existe um link dentro da plataforma no qual esse documento pode ser acessado a qualquer momento."
A plataforma/solução permite limitar ou restringir o compartilhamento e/ou informação? De que forma?,A plataforma não realiza o compartilhamento de dados pessoais com terceiros. 
A plataforma/solução realiza Transferência Internacional de dados?,A aplicação não possui a funcionalidade de transferência internacional de dados
A plataforma/solução possui a funcionalidade de anonimização e/ou pseudonimização de dados?,"Não possui, pois não existe compartilhamento dos dados, o uso é estritamente interno. "
"A plataforma/solução armazena os dados em nuvem? Caso positivo, detalhar a localização.",É armazenado em storage da nuvem AWS. Localização São Paulo/Brasil 
O Backup dos dados da plataforma/solução está localizado na nuvem? Detalhar a localização. Obrigatória a especificação.,O procedimento de backup está implementado em servidor da nuvem AWS. Localização São Paulo/Brasil
Descrever a arquitetura contratada para sustentar a plataforma/solução em nuvem.,"As aplicações são alocadas em servidores EC2 da AWS, bem como servidores de banco de dados. A frente das instâncias, possui um servidor proxy onde recebe as requisições web da Azion, CDN e Waf que melhora na latência e proteção das aplicações Web.  "
"O ambiente contrato em nuvem é escalonável? Ou seja, permite a possibilidade de ampliação da plataforma/solução?","Sim, a escalabilidade utilizada se extende a nivel de armazenamento, servidores e banco de dados"
A plataforma/solução possui uma estratégia definida e homologada para recuperação dos dados em caso de um desastre?,"Sim, a recuperação de desastre utilizada é a provida pela AWS, que recupera servidor e banco de dados até ultima instante antes da falha"
O ambiente contratado na nuvem possui algum tipo de controle de segurança de acordo com a melhores práticas do mercado?,"O ambiente de acesso a plataforma possui senhas com mais de 15 caractares, autenticação multi-fator e controle de acesso para determinados setores. Somente colaboradores com acesso admininstrativo podem operar os recursos da plataforma."
O ambiente em nuvem contratado possui monitoramento de segurança? Descreva de que forma ele é realizado.,"Os servidores possui os recursos de monitoramento com a ferramentas Zabbix e Wazuh para cibersegurança. Na própria operadora AWS, possui os recursos do CloudWatch, onde monitora o estado do servidor."
